name,iter_num,0.001,0.005,0.01,0.05
"bootstrap, basic method",84,0,0,0,0
"bootstrap, bca method",84,0,0,0,0
z-test,85,0,0,0,1
"t-test, equal var = true",85,0,0,0,1
"t-test, equal var = false",85,0,0,0,1
"permutation test, mean stat",85,0,0,0,1
"bootstrap, percentile method",85,0,0,0,0
"bootstrap, basic method",85,0,0,0,1
"bootstrap, bca method",85,0,0,0,1
z-test,86,0,0,0,0
"t-test, equal var = true",86,0,0,0,0
"t-test, equal var = false",86,0,0,0,0
"permutation test, mean stat",86,0,0,0,0
"bootstrap, percentile method",86,0,0,0,0
"bootstrap, basic method",86,0,0,0,0
"bootstrap, bca method",86,0,0,0,0
z-test,87,0,0,0,0
"t-test, equal var = true",87,0,0,0,0
"t-test, equal var = false",87,0,0,0,0
"permutation test, mean stat",87,0,0,0,0
"bootstrap, percentile method",87,0,0,0,0
"bootstrap, basic method",87,0,0,0,0
"bootstrap, bca method",87,0,0,0,0
z-test,88,0,0,0,0
"t-test, equal var = true",88,0,0,0,0
"t-test, equal var = false",88,0,0,0,0
"permutation test, mean stat",88,0,0,0,0
"bootstrap, percentile method",88,0,0,0,0
"bootstrap, basic method",88,0,0,0,0
"bootstrap, bca method",88,0,0,0,0
z-test,89,0,0,0,0
"t-test, equal var = true",89,0,0,0,0
"t-test, equal var = false",89,0,0,0,0
"permutation test, mean stat",89,0,0,0,0
"bootstrap, percentile method",89,0,0,0,0
"bootstrap, basic method",89,0,0,0,0
"bootstrap, bca method",89,0,0,0,0
z-test,90,0,1,1,1
"t-test, equal var = true",90,0,1,1,1
"t-test, equal var = false",90,0,1,1,1
"permutation test, mean stat",90,0,1,1,1
"bootstrap, percentile method",90,1,1,1,1
"bootstrap, basic method",90,1,1,1,1
"bootstrap, bca method",90,0,1,1,1
z-test,91,0,0,0,0
"t-test, equal var = true",91,0,0,0,0
"t-test, equal var = false",91,0,0,0,0
"permutation test, mean stat",91,0,0,0,0
"bootstrap, percentile method",91,0,0,0,0
"bootstrap, basic method",91,0,0,0,0
"bootstrap, bca method",91,0,0,0,0
z-test,92,0,0,0,0
"t-test, equal var = true",92,0,0,0,0
"t-test, equal var = false",92,0,0,0,0
"permutation test, mean stat",92,0,0,0,0
"bootstrap, percentile method",92,0,0,0,0
"bootstrap, basic method",92,0,0,0,0
"bootstrap, bca method",92,0,0,0,0
z-test,93,0,0,0,0
"t-test, equal var = true",93,0,0,0,0
"t-test, equal var = false",93,0,0,0,0
"permutation test, mean stat",93,0,0,0,0
"bootstrap, percentile method",93,0,0,0,0
"bootstrap, basic method",93,0,0,0,0
"bootstrap, bca method",93,0,0,0,0
z-test,94,0,0,0,0
"t-test, equal var = true",94,0,0,0,0
"t-test, equal var = false",94,0,0,0,0
"permutation test, mean stat",94,0,0,0,0
"bootstrap, percentile method",94,0,0,0,0
"bootstrap, basic method",94,0,0,0,0
"bootstrap, bca method",94,0,0,0,0
z-test,95,0,0,0,0
"t-test, equal var = true",95,0,0,0,0
"t-test, equal var = false",95,0,0,0,0
"permutation test, mean stat",95,0,0,0,0
"bootstrap, percentile method",95,0,0,0,0
"bootstrap, basic method",95,0,0,0,0
"bootstrap, bca method",95,0,0,0,0
z-test,96,0,0,0,0
"t-test, equal var = true",96,0,0,0,0
"t-test, equal var = false",96,0,0,0,0
"permutation test, mean stat",96,0,0,0,0
"bootstrap, percentile method",96,0,0,0,0
"bootstrap, basic method",96,0,0,0,0
"bootstrap, bca method",96,0,0,0,0
z-test,97,0,0,0,0
"t-test, equal var = true",97,0,0,0,0
"t-test, equal var = false",97,0,0,0,0
"permutation test, mean stat",97,0,0,0,0
"bootstrap, percentile method",97,0,0,0,0
"bootstrap, basic method",97,0,0,0,0
"bootstrap, bca method",97,0,0,0,0
z-test,98,0,0,0,0
"t-test, equal var = true",98,0,0,0,0
"t-test, equal var = false",98,0,0,0,0
"permutation test, mean stat",98,0,0,0,0
